,DATE,REGION,AGEGROUP,SEX,DEATHS
0,2020-03-07,Brussels,75-84,M,1
1,2020-03-10,Brussels,85+,F,1
2,2020-03-11,Flanders,85+,M,1
3,2020-03-11,Brussels,65-74,M,1
4,2020-03-11,Brussels,85+,F,1
5,2020-03-13,Wallonia,65-74,M,1
6,2020-03-13,Brussels,75-84,M,1
7,2020-03-13,Brussels,75-84,F,1
8,2020-03-14,Flanders,75-84,M,1
9,2020-03-14,Brussels,65-74,M,2
10,2020-03-14,Brussels,75-84,M,1
11,2020-03-14,Brussels,75-84,F,1
12,2020-03-14,Brussels,85+,M,2
13,2020-03-15,Wallonia,65-74,F,1
14,2020-03-15,Wallonia,85+,F,1
15,2020-03-15,Flanders,65-74,M,1
16,2020-03-15,Flanders,85+,F,1
17,2020-03-15,Brussels,65-74,F,1
18,2020-03-15,Brussels,75-84,M,1
19,2020-03-15,Brussels,75-84,F,1
20,2020-03-16,Wallonia,75-84,M,1
21,2020-03-16,Wallonia,85+,F,3
22,2020-03-16,Flanders,65-74,M,1
23,2020-03-16,Flanders,75-84,F,1
24,2020-03-16,Brussels,65-74,M,1
25,2020-03-16,Brussels,75-84,F,1
26,2020-03-16,Brussels,85+,M,2
27,2020-03-16,Brussels,85+,F,1
28,2020-03-17,Wallonia,75-84,M,1
29,2020-03-17,Wallonia,85+,F,1
30,2020-03-17,Flanders,75-84,F,1
31,2020-03-17,Flanders,75-84,NA,1
32,2020-03-17,Flanders,85+,M,1
33,2020-03-17,Flanders,85+,F,1
34,2020-03-17,Brussels,65-74,M,1
35,2020-03-17,Brussels,75-84,M,1
36,2020-03-17,Brussels,75-84,F,2
37,2020-03-17,Brussels,85+,M,4
38,2020-03-17,Brussels,85+,F,1
39,2020-03-18,Wallonia,25-44,F,1
40,2020-03-18,Wallonia,45-64,M,1
41,2020-03-18,Wallonia,65-74,M,2
42,2020-03-18,Wallonia,85+,F,3
43,2020-03-18,Flanders,65-74,F,1
44,2020-03-18,Flanders,75-84,M,4
45,2020-03-18,Flanders,85+,M,1
46,2020-03-18,Flanders,85+,F,2
47,2020-03-18,Brussels,75-84,M,1
48,2020-03-18,Brussels,75-84,F,3
49,2020-03-18,Brussels,85+,M,4
50,2020-03-18,Brussels,85+,F,2
51,2020-03-19,Wallonia,65-74,M,5
52,2020-03-19,Wallonia,65-74,F,2
53,2020-03-19,Wallonia,75-84,F,1
54,2020-03-19,Wallonia,85+,M,3
55,2020-03-19,Wallonia,85+,F,1
56,2020-03-19,Flanders,65-74,F,1
57,2020-03-19,Flanders,75-84,M,3
58,2020-03-19,Flanders,75-84,F,2
59,2020-03-19,Flanders,85+,M,3
60,2020-03-19,Flanders,85+,F,6
61,2020-03-19,Flanders,85+,NA,1
62,2020-03-19,Brussels,45-64,F,1
63,2020-03-19,Brussels,75-84,M,1
64,2020-03-19,Brussels,75-84,F,1
65,2020-03-19,Brussels,85+,F,4
66,2020-03-20,Wallonia,45-64,F,2
67,2020-03-20,Wallonia,65-74,M,1
68,2020-03-20,Wallonia,75-84,M,2
69,2020-03-20,Wallonia,85+,M,3
70,2020-03-20,Wallonia,85+,F,6
71,2020-03-20,Flanders,45-64,M,2
72,2020-03-20,Flanders,45-64,F,1
73,2020-03-20,Flanders,65-74,M,1
74,2020-03-20,Flanders,65-74,F,1
75,2020-03-20,Flanders,75-84,M,1
76,2020-03-20,Flanders,75-84,F,2
